SITE_ID,SITE_NAME,FLUXNET2015,FLUXNET-CH4,latitude,longitude,data_longtime,LOCATION_ELEV,IGBP,MAT,MAP
NL-Hor,Horstermeer,CC-BY-4.0,CC-BY-4.0,52.2403,5.0713,8,2.2,GRA,10,800
NL-Loo,Loobos,CC-BY-4.0,,52.1666,5.7436,19,25,ENF,9.8,786
NZ-Kop,Kopuatai,,CC-BY-4.0,-37.3879,175.5539,4,,EBF,,
PA-SPn,Sardinilla Plantation,CC-BY-4.0,,9.3181,-79.6346,3,78,DBF,26.5,2350
PA-SPs,Sardinilla-Pasture,CC-BY-4.0,,9.3138,-79.6314,3,68,GRA,26.5,2350
PH-RiF,Philippines Rice Institute flooded,,CC-BY-4.0,14.1412,121.2653,3,27,CRO,27.5,2112
RU-Ch2,Chersky reference,,CC-BY-4.0,68.6169,161.3509,3,4,WET,-12.5,200
RU-Che,Cherski,CC-BY-4.0,CC-BY-4.0,68.613,161.3414,4,6,WET,-11,197
RU-Cok,Chokurdakh,CC-BY-4.0,CC-BY-4.0,70.8291,147.4943,12,48,OSH,-14.3,232
RU-Fy2,Fyodorovskoye dry spruce,,CC-BY-4.0,56.4476,32.9019,4,,ENF,4.39,668.53
RU-Fyo,Fyodorovskoye,CC-BY-4.0,,56.4615,32.9221,17,265,ENF,3.9,711
RU-Ha1,Hakasia steppe,CC-BY-4.0,,54.7252,90.0022,3,446,GRA,-0.07,591.87
RU-Sam,Samoylov,Tier 2,,72.3738,126.4958,13,,GRA,,
RU-SkP,Yakutsk Spasskaya Pad larch,Tier 2,,62.255,129.168,3,246,DNF,,
RU-Tks,Tiksi,Tier 2,,71.5943,128.8878,5,7,GRA,-12.7,323
RU-Vrk,Seida/Vorkuta,Tier 2,Tier 2,67.0547,62.9405,1,100,CSH,-5.6,501
SD-Dem,Demokeya,CC-BY-4.0,,13.2829,30.4783,5,500,SAV,26,320
SE-Deg,Degero,,CC-BY-4.0,64.182,19.5565,5,270,GRA,1.2,523
SE-St1,Stordalen grassland,Tier 2,Tier 2,68.3541,19.0503,3,351,WET,-0.7,303.3
SJ-Adv,Adventdalen,CC-BY-4.0,,78.186,15.923,4,17,WET,,
SJ-Blv,"Bayelva, Spitsbergen",CC-BY-4.0,,78.9216,11.8311,2,25,SNO,-4.5,400
SN-Dhr,Dahra,CC-BY-4.0,,15.4028,-15.4322,4,40,SAV,29,404
UK-LBT,London_BT,,CC-BY-4.0,51.5215,-0.1389,4,21,URB,11.3,592
US-A03,ARM-AMF3-Oliktok,,CC-BY-4.0,70.4953,-149.8823,4,5,BSV,-11.2,115.1
US-A10,ARM-NSA-Barrow,,CC-BY-4.0,71.3242,-156.6149,7,4,BSV,-11.2,115.1
US-AR1,ARM USDA UNL OSU Woodward Switchgrass 1,CC-BY-4.0,,36.4267,-99.42,4,611,GRA,,
US-AR2,ARM USDA UNL OSU Woodward Switchgrass 2,CC-BY-4.0,,36.6358,-99.5975,4,646,GRA,,
US-ARb,ARM Southern Great Plains burn site- Lamont,CC-BY-4.0,,35.5497,-98.0402,2,424,GRA,,
US-ARc,ARM Southern Great Plains control site- Lamont,CC-BY-4.0,,35.5465,-98.04,2,424,GRA,,
US-ARM,ARM Southern Great Plains site- Lamont,CC-BY-4.0,,36.6058,-97.4888,10,314,CRO,14.76,843
US-Atq,Atqasuk,CC-BY-4.0,CC-BY-4.0,70.4696,-157.4089,6,15,WET,-9.7,93
US-Beo,Barrow Environmental Observatory (BEO) tower,,CC-BY-4.0,71.281,-156.6123,2,,WET,-11.3,72
US-Bes,Barrow-Bes (Biocomplexity Experiment South tower),,CC-BY-4.0,71.2809,-156.5965,3,4.6,WET,-12,173
US-Bi1,Bouldin Island Alfalfa,,CC-BY-4.0,38.0992,-121.4993,3,-2.7,CRO,16,338
US-Bi2,Bouldin Island corn,,CC-BY-4.0,38.1091,-121.5351,2,-5,CRO,16,338
US-Blo,Blodgett Forest,CC-BY-4.0,,38.8953,-120.6328,11,1315,ENF,11.09,1226
US-BZB,Bonanza Creek Thermokarst Bog,,CC-BY-4.0,64.6955,-148.3208,3,100,WET,-2.4,274
US-BZF,Bonanza Creek Rich Fen,,CC-BY-4.0,64.7013,-148.3121,3,95,WET,-2.4,274
US-BZS,Bonanza Creek Black Spruce,,CC-BY-4.0,64.6963,-148.3235,2,100,ENF,-2.4,274
US-Cop,Corral Pocket,CC-BY-4.0,,38.09,-109.39,7,1520,GRA,,
US-CRT,Curtice Walter-Berger cropland,CC-BY-4.0,CC-BY-4.0,41.6285,-83.3471,3,180,CRO,10.1,849
US-DPW,Disney Wilderness Preserve Wetland,,CC-BY-4.0,28.0521,-81.4361,5,23,WET,22.6,1142
US-EDN,Eden Landing Ecological Reserve,,CC-BY-4.0,37.6156,-122.114,4,,WET,,
US-EML,"Eight Mile Lake Permafrost thaw gradient, Healy Alaska.",,CC-BY-4.0,63.8784,-149.2536,4,700,OSH,-1,378
US-GBT,GLEES Brooklyn Tower,CC-BY-4.0,,41.3658,-106.2397,8,3191,ENF,0.8,1200
US-GLE,GLEES,CC-BY-4.0,,41.3665,-106.2399,11,3197,ENF,0.8,1200
US-Goo,Goodwin Creek,CC-BY-4.0,,34.2547,-89.8735,5,87,GRA,15.89,1425.77
US-Ha1,Harvard Forest EMS Tower (HFR1),CC-BY-4.0,,42.5378,-72.1715,22,340,DBF,6.62,1071
US-Ho1,Howland Forest (main tower),,CC-BY-4.0,45.2041,-68.7402,9,60,ENF,5.27,1070
US-HRA,Humnoke Farm Rice Field ¨C Field A,,CC-BY-4.0,34.5852,-91.7517,1,,CRO,16.7,1250
US-HRC,Humnoke Farm Rice Field ¨C Field C,,CC-BY-4.0,34.5888,-91.7517,1,,CRO,16.7,1250
US-IB2,Fermi National Accelerator Laboratory- Batavia (Prairie site),CC-BY-4.0,,41.8406,-88.241,8,226.5,GRA,9.04,930.25
US-ICs,Imnavait Creek Watershed Wet Sedge Tundra,,CC-BY-4.0,68.6058,-149.311,3,920,WET,-7.4,318
US-Ivo,Ivotuk,CC-BY-4.0,CC-BY-4.0,68.4865,-155.7503,4,568,WET,-8.28,304
US-KS1,Kennedy Space Center (slash pine),CC-BY-4.0,,28.4583,-80.6709,1,1,ENF,21.9,1266
US-KS2,Kennedy Space Center (scrub oak),CC-BY-4.0,,28.6086,-80.6715,4,3,CSH,21.66,1294
US-LA1,Pointe-aux-Chenes Brackish Marsh,,CC-BY-4.0,29.5013,-90.4449,2,0,WET,20.7,1625
US-LA2,Salvador WMA Freshwater Marsh,,CC-BY-4.0,29.8587,-90.2869,3,0,WET,20.2,1655
US-Lin,Lindcove Orange Orchard,CC-BY-4.0,,36.3566,-119.0922,2,131,CRO,,
US-Los,Lost Creek,CC-BY-4.0,CC-BY-4.0,46.0827,-89.9792,15,480,WET,4.08,828
US-LWW,Little Washita Watershed,CC-BY-4.0,,34.9604,-97.9789,2,365,GRA,16.09,805.12
US-MAC,MacArthur Agro-Ecology,,CC-BY-4.0,27.1632,-81.1873,3,,WET,,
